Kod Responden,a5: ( Jantina ),a6: ( Bangsa ),a7: ( Agama ),a8: ( Umur )
26010,Perempuan,Cina,Kristian,64
37045,Lelaki,Melayu,Islam,65
20237,Perempuan,Melayu,Islam,65
33941,Lelaki,Melayu,Islam,61
15007,Lelaki,Melayu,Islam,61
30014,Perempuan,Melayu,Islam,69
12037,Lelaki,India,Hindu,75
41057,Perempuan,Melayu,Islam,63
38007,Lelaki,Melayu,Islam,66
44009,Lelaki,Cina,Buddha,65
35037,Lelaki,Melayu,Islam,70
46040,Perempuan,Cina,Buddha,61
26050,Lelaki,Melayu,Islam,60
20312,Perempuan,Melayu,Islam,68
41007,Lelaki,Melayu,Islam,78
20910,Lelaki,Melayu,Islam,67
19030,Lelaki,Melayu,Islam,66
26013,Perempuan,Cina,Kristian,67
44024,Perempuan,Cina,Buddha,70
10010,Lelaki,Melayu,Islam,65
11043,Lelaki,Melayu,Islam,67
11056,Lelaki,Melayu,Islam,75
11095,Perempuan,Cina,Buddha,69
11104,Perempuan,Cina,Buddha,70
12003,Lelaki,Cina,Buddha,67
12005,Perempuan,Cina,Buddha,66
12013,Perempuan,Cina,Kristian,75
13011,Lelaki,Melayu,Islam,63
13019,Perempuan,Melayu,Islam,68
14005,Perempuan,Melayu,Islam,72
14038,Perempuan,Cina,Buddha,77
14041,Lelaki,Cina,Buddha,72
14042,Perempuan,Cina,Buddha,70
15012,Perempuan,Melayu,Islam,68
15023,Lelaki,Melayu,Islam,77
16018,Lelaki,Melayu,Islam,75
16026,Perempuan,Cina,Buddha,66
16034,Perempuan,Cina,Buddha,68
16037,Lelaki,Cina,Buddha,70
17006,Perempuan,Melayu,Islam,61
17008,Lelaki,Cina,Buddha,75
17021,Lelaki,Cina,Buddha,78
18005,Lelaki,Melayu,Islam,73
18022,Lelaki,Melayu,Islam,75
18034,Perempuan,Melayu,Islam,69
18043,Lelaki,Melayu,Islam,70
18046,Lelaki,Melayu,Islam,72
19012,Perempuan,Melayu,Islam,67
19014,Perempuan,Melayu,Islam,66
19019,Perempuan,Melayu,Islam,66
19029,Lelaki,Melayu,Islam,65
20209,Lelaki,Melayu,Islam,73
20217,Lelaki,Melayu,Islam,62
20232,Perempuan,Melayu,Islam,62
20239,Perempuan,Melayu,Islam,68
20241,Perempuan,Melayu,Islam,67
20303,Perempuan,Melayu,Islam,76
20919,Lelaki,Melayu,Islam,63
20922,Perempuan,Melayu,Islam,64
20942,Lelaki,Melayu,Islam,66
20949,Perempuan,Melayu,Islam,61
21004,Lelaki,Cina,Buddha,67
21016,Perempuan,Cina,Buddha,63
21017,Lelaki,Cina,Buddha,67
21021,Perempuan,Cina,Buddha,69
21026,Lelaki,Cina,Buddha,65
21030,Perempuan,Cina,Buddha,60
21033,Perempuan,Cina,Buddha,80
21039,Perempuan,Cina,Buddha,73
22002,Lelaki,Cina,Buddha,70
22006,Perempuan,Cina,Buddha,72
22013,Perempuan,Cina,Buddha,61
22016,Lelaki,Cina,Buddha,69
22019,Perempuan,Cina,Buddha,67
22021,Lelaki,Cina,Buddha,71
22022,Perempuan,Cina,Buddha,68
22026,Perempuan,Cina,Buddha,76
22029,Perempuan,Cina,Buddha,74
22031,Perempuan,Cina,Buddha,68
22032,Perempuan,Cina,Buddha,69
22033,Lelaki,Cina,Buddha,83
22038,Lelaki,Cina,Buddha,60
22048,Lelaki,Cina,Buddha,63
22050,Perempuan,Cina,Buddha,69
23032,Perempuan,Cina,Buddha,80
24602,Perempuan,Cina,Buddha,70
24603,Lelaki,Cina,Buddha,73
25001,Perempuan,Cina,Buddha,71
25009,Perempuan,Melayu,Islam,64
25011,Perempuan,Melayu,Islam,66
25013,Perempuan,Melayu,Islam,61
25014,Perempuan,Cina,Buddha,62
26009,Lelaki,Cina,Buddha,64
26015,Lelaki,Cina,Kristian,73
26019,Perempuan,Cina,Buddha,63
26035,Lelaki,Melayu,Islam,72
27017,Perempuan,Cina,Buddha,64
27018,Perempuan,Cina,Buddha,73
27031,Perempuan,Cina,Kristian,71
27044,Lelaki,Cina,Buddha,72
28014,Lelaki,Melayu,Islam,77
28025,Perempuan,Melayu,Islam,72
28036,Perempuan,Melayu,Islam,76
29002,Lelaki,Melayu,Islam,62
29009,Perempuan,Melayu,Islam,62
29020,Lelaki,Melayu,Islam,65
29022,Perempuan,Melayu,Islam,67
29033,Lelaki,Melayu,Islam,74
29042,Lelaki,Melayu,Islam,76
30030,Lelaki,Melayu,Islam,64
30045,Lelaki,Melayu,Islam,63
30047,Lelaki,Melayu,Islam,64
31011,Lelaki,Melayu,Islam,70
32004,Lelaki,Melayu,Islam,63
32009,Lelaki,Melayu,Islam,76
32024,Lelaki,Melayu,Islam,67
32030,Lelaki,Melayu,Islam,67
32038,Lelaki,Melayu,Islam,75
33126,Lelaki,Melayu,Islam,64
33518,Lelaki,Melayu,Islam,72
33530,Lelaki,Melayu,Islam,68
33833,Lelaki,Melayu,Islam,74
33861,Perempuan,Melayu,Islam,67
33902,Lelaki,Melayu,Islam,70
33917,Lelaki,Melayu,Islam,70
33932,Lelaki,Melayu,Islam,63
33938,Perempuan,Melayu,Islam,67
33947,Lelaki,Melayu,Islam,61
35040,Lelaki,Melayu,Islam,62
36005,Perempuan,Melayu,Islam,71
36007,Lelaki,Melayu,Islam,73
36011,Lelaki,Melayu,Islam,67
36015,Lelaki,Melayu,Islam,63
38000,Lelaki,Melayu,Islam,71
38014,Lelaki,Melayu,Islam,66
38038,Lelaki,Melayu,Islam,76
38041,Lelaki,India,Hindu,61
38045,Perempuan,Melayu,Islam,71
39002,Lelaki,Cina,Buddha,75
39003,Perempuan,Melayu,Islam,64
39028,Perempuan,Melayu,Islam,64
39033,Lelaki,Melayu,Islam,66
39052,Lelaki,Melayu,Islam,75
39057,Lelaki,Melayu,Islam,69
39059,Perempuan,Melayu,Islam,69
39070,Lelaki,Cina,Buddha,63
39081,Lelaki,Melayu,Islam,62
41002,Lelaki,Melayu,Islam,67
42015,Perempuan,Cina,Buddha,70
42028,Lelaki,Cina,Lain-lain agama,71
43008,Perempuan,Cina,Lain-lain agama,73
43011,Lelaki,Cina,Buddha,64
43013,Perempuan,Cina,Buddha,69
43014,Lelaki,Cina,Buddha,70
43018,Lelaki,Cina,Buddha,65
43020,Lelaki,Cina,Buddha,89
43029,Lelaki,Cina,Lain-lain agama,72
43030,Lelaki,Cina,Buddha,74
43033,Perempuan,Cina,Buddha,70
43039,Perempuan,Cina,Buddha,60
43048,Lelaki,Cina,Buddha,77
43053,Perempuan,Cina,Buddha,73
44003,Lelaki,Cina,Buddha,77
44013,Perempuan,Cina,Lain-lain agama,77
44038,Lelaki,India,Hindu,71
44039,Lelaki,Melayu,Islam,63
44041,Perempuan,Melayu,Islam,65
45203,Lelaki,Melayu,Islam,80
45242,Perempuan,Cina,Buddha,70
45250,Lelaki,Cina,Buddha,63
46012,Lelaki,Cina,Buddha,70
46025,Perempuan,Cina,Buddha,69
46046,Perempuan,Cina,Buddha,63
48011,Lelaki,India,Kristian,79
48018,Lelaki,India,Hindu,82
48048,Perempuan,Cina,Buddha,75
49003,Perempuan,India,Hindu,63
49004,Lelaki,Cina,Buddha,67
49006,Perempuan,Melayu,Islam,63
49037,Perempuan,Cina,Buddha,63
49039,Perempuan,Cina,Buddha,73
49045,Lelaki,Melayu,Islam,62
